"Informazioni cronologiche","Pensi che la lotta al cambiamento stia funzionando o no?","Quanti obiettivi pensi che l'Italia riesca a completare entro il 2030? (Inserire numero)","Sei a conoscenza degli obiettivi dell'agenda 2030?","Quale tra le macroaree dell'agenda 2030 pensi sia più importante?"
"2026/06/04 12:08:23 PM EEST","Si","3","No","Pianeta"
"2026/06/04 12:10:18 PM EEST","Si","8","Si","Pianeta"
"2026/06/04 12:10:52 PM EEST","Si","17","Si","Pace"
"2026/06/04 12:13:14 PM EEST","No","10","Si","Prosperità"
"2026/06/04 12:13:15 PM EEST","No","4","Si","Pace"
"2026/06/04 12:13:17 PM EEST","Si","4","Si","Pianeta"
"2026/06/04 12:13:21 PM EEST","No","5","Si","Pianeta"
"2026/06/04 12:13:59 PM EEST","No","3","No","Prosperità"
"2026/06/04 12:14:04 PM EEST","No","1","Si","Pace"
"2026/06/04 12:14:08 PM EEST","No","1","Si","Pace"
"2026/06/04 12:14:25 PM EEST","No","Nessuno","Si","Pace"
"2026/06/04 12:14:40 PM EEST","Si","12","Si","Persone"
"2026/06/04 12:14:58 PM EEST","No","4","Si","Pianeta"
"2026/06/04 12:15:37 PM EEST","No","","Si","Pace"
"2026/06/04 12:16:00 PM EEST","Si","2","Si","Pace"
"2026/06/04 12:16:44 PM EEST","Si","1","Si","Prosperità"
"2026/06/04 12:18:12 PM EEST","No","6/7","Si","Pace"
"2026/06/04 12:18:23 PM EEST","No","0","Si","Pianeta"